Zip,Latitude,Longitude
38016,35.177475,-89.776835
38018,35.157681,-89.78249
38103,35.146131,-90.0534
38104,35.133825,-90.00463
38105,35.15275,-90.0356
38106,35.103019,-90.04017
38107,35.167515,-90.02224
38108,35.174165,-89.96028
38109,35.050286,-90.07523
38111,35.10935,-89.94363
38112,35.148605,-89.97479
38114,35.101525,-89.98543
38115,35.057311,-89.86291
38116,35.03319,-90.01128
38117,35.112929,-89.90389
38118,35.048455,-89.92426
38119,35.082936,-89.84892
38120,35.124818,-89.86562
38122,35.155589,-89.92315
38125,35.035466,-89.80329
38126,35.126469,-90.04359
38127,35.223796,-90.00646
38128,35.219882,-89.92588
38131,35.063236,-89.99403
38132,35.073545,-89.99788
38133,35.208709,-89.80518
38134,35.193046,-89.86559
38135,35.232085,-89.85214
38138,35.088885,-89.80677
38139,35.087468,-89.7615
38141,35.016803,-89.84701
38152,35.201738,-89.971538